mineID,commodity_code,commodity_name,source_column,source_raw_value,status,confirmed_present
132,Au,Gold,metalMinedGold,FALSE,absent,False
391,Au,Gold,metalMinedGold,TRUE,present,True
429,Au,Gold,metalMinedGold,FALSE,absent,False
430,Au,Gold,metalMinedGold,FALSE,absent,False
431,Au,Gold,metalMinedGold,TRUE,present,True
432,Au,Gold,metalMinedGold,FALSE,absent,False
433,Au,Gold,metalMinedGold,TRUE,present,True
434,Au,Gold,metalMinedGold,TRUE,present,True
435,Au,Gold,metalMinedGold,FALSE,absent,False
436,Au,Gold,metalMinedGold,TRUE,present,True
437,Au,Gold,metalMinedGold,TRUE,present,True
438,Au,Gold,metalMinedGold,TRUE,present,True
439,Au,Gold,metalMinedGold,TRUE,present,True
440,Au,Gold,metalMinedGold,TRUE,present,True
441,Au,Gold,metalMinedGold,FALSE,absent,False
442,Au,Gold,metalMinedGold,TRUE,present,True
444,Au,Gold,metalMinedGold,TRUE,present,True
445,Au,Gold,metalMinedGold,FALSE,absent,False
446,Au,Gold,metalMinedGold,FALSE,absent,False
447,Au,Gold,metalMinedGold,FALSE,absent,False
448,Au,Gold,metalMinedGold,FALSE,absent,False
449,Au,Gold,metalMinedGold,FALSE,absent,False
450,Au,Gold,metalMinedGold,FALSE,absent,False
451,Au,Gold,metalMinedGold,FALSE,absent,False
452,Au,Gold,metalMinedGold,FALSE,absent,False
453,Au,Gold,metalMinedGold,FALSE,absent,False
454,Au,Gold,metalMinedGold,FALSE,absent,False
455,Au,Gold,metalMinedGold,FALSE,absent,False
456,Au,Gold,metalMinedGold,FALSE,absent,False
457,Au,Gold,metalMinedGold,TRUE,present,True
458,Au,Gold,metalMinedGold,TRUE,present,True
459,Au,Gold,metalMinedGold,TRUE,present,True
460,Au,Gold,metalMinedGold,FALSE,absent,False
461,Au,Gold,metalMinedGold,FALSE,absent,False
462,Au,Gold,metalMinedGold,FALSE,absent,False
463,Au,Gold,metalMinedGold,TRUE,present,True
464,Au,Gold,metalMinedGold,TRUE,present,True
465,Au,Gold,metalMinedGold,FALSE,absent,False
466,Au,Gold,metalMinedGold,TRUE,present,True
467,Au,Gold,metalMinedGold,TRUE,present,True
468,Au,Gold,metalMinedGold,TRUE,present,True
469,Au,Gold,metalMinedGold,TRUE,present,True
470,Au,Gold,metalMinedGold,TRUE,present,True
471,Au,Gold,metalMinedGold,TRUE,present,True
472,Au,Gold,metalMinedGold,FALSE,absent,False
473,Au,Gold,metalMinedGold,TRUE,present,True
474,Au,Gold,metalMinedGold,TRUE,present,True
475,Au,Gold,metalMinedGold,TRUE,present,True
476,Au,Gold,metalMinedGold,TRUE,present,True
477,Au,Gold,metalMinedGold,TRUE,present,True
478,Au,Gold,metalMinedGold,TRUE,present,True
479,Au,Gold,metalMinedGold,FALSE,absent,False
480,Au,Gold,metalMinedGold,TRUE,present,True
481,Au,Gold,metalMinedGold,TRUE,present,True
482,Au,Gold,metalMinedGold,FALSE,absent,False
483,Au,Gold,metalMinedGold,FALSE,absent,False
484,Au,Gold,metalMinedGold,FALSE,absent,False
486,Au,Gold,metalMinedGold,TRUE,present,True
487,Au,Gold,metalMinedGold,TRUE,present,True
488,Au,Gold,metalMinedGold,TRUE,present,True
489,Au,Gold,metalMinedGold,TRUE,present,True
490,Au,Gold,metalMinedGold,TRUE,present,True
491,Au,Gold,metalMinedGold,TRUE,present,True
492,Au,Gold,metalMinedGold,TRUE,present,True
493,Au,Gold,metalMinedGold,TRUE,present,True
494,Au,Gold,metalMinedGold,TRUE,present,True
495,Au,Gold,metalMinedGold,TRUE,present,True
496,Au,Gold,metalMinedGold,TRUE,present,True
497,Au,Gold,metalMinedGold,TRUE,present,True
498,Au,Gold,metalMinedGold,TRUE,present,True
499,Au,Gold,metalMinedGold,TRUE,present,True
500,Au,Gold,metalMinedGold,TRUE,present,True
501,Au,Gold,metalMinedGold,FALSE,absent,False
502,Au,Gold,metalMinedGold,FALSE,absent,False
503,Au,Gold,metalMinedGold,FALSE,absent,False
504,Au,Gold,metalMinedGold,FALSE,absent,False
505,Au,Gold,metalMinedGold,FALSE,absent,False
506,Au,Gold,metalMinedGold,FALSE,absent,False
507,Au,Gold,metalMinedGold,FALSE,absent,False
508,Au,Gold,metalMinedGold,FALSE,absent,False
509,Au,Gold,metalMinedGold,FALSE,absent,False
510,Au,Gold,metalMinedGold,FALSE,absent,False
